validator,precommitCount,address,operatorAddress
JayB,0,D9217224EE807192272C5E6F2F8E6E5D356C96E2,desmosvaloper1t0v7ymj7dwe25pp9nh2wuq9u4crmhun7n0wawz
Poseidon,423041,D986DA6092404D46251F58DBC480AE05493763C5,desmosvaloper1uj9c9929scde78wu3u5r99wcavf2fzl7aq3y39
Masternode24,421568,77134AD98A7693DF50EB3F912F8AC62FB365342B,desmosvaloper1h5f3dywec65v9qulxkmcv3e6yujyh3zm0ghhl3
retz80,415828,A4ADCDDEEC734A76387BE0CB445F6291C322A4DD,desmosvaloper1jwrsx60nuuzw642u7uuhceuhnxgrrl892wc8rx
astro,0,CF818644FBC7CC37E1BC8196AB7ED70526D154AF,desmosvaloper1lpw5wg6805h33zdfy2x48c2hlrk7fwc2af9d2l
InchainWorks,307748,056244D79E3349CC899A8AE2AA7A81785D1211CA,desmosvaloper17xf8f0ly5evhawvfz2q9u4pvpjq3spfmmr4xaz
Minutemen,419900,2529F20ADF99A758140EA40A1170E893F8C38431,desmosvaloper14dm0zdemeymhayucp7gchuus3k5m344f0p084p
Cyberili,407776,BD9823958294495AB4A913ED5201D4FB2BDB9EAC,desmosvaloper1uj0jfawnrsdwelq5dx2uh3x4tetca3pdask5gg
KalpaTech,403419,C28B926057A7DD59872FE96757CF74428A5480F3,desmosvaloper1txdthvutrrfzzf9htelcnfz655afu4yh0zhrr2
Stake Capital,0,F900167F14A07E8320B5F19D5B0AB9A90C7BC684,desmosvaloper1qmvtu9dn6d8meemrz5gngq8l3tcnz92m9cv49z
Virgo Staking,422759,81EF59C32B3941E878129D0ABA8EA2FDAEFEBF29,desmosvaloper1c3y623kpys5cw6tuustkca7k89kwy95dmkx4g0
yun2,0,BF3D9B73196B2FF771CEB8B4D2F89D0BF6E871CE,desmosvaloper16fy9dt99s7qpaxdkulqwpu5ky0e23hqn297640
witval,422465,0549E17DCCE2AA4BAB0640C70A692389FE081351,desmosvaloper1c6x3ngzedvqva67nx6ay7vsuw8u79ck07yrejh
mercy,0,A2B5AFA9DF307AB6C0840EA8CD38BB6812538D6E,desmosvaloper1zl7rshhad272px6qud8n6sf7ekvsd64a6ynps5
fruitdealer,0,D97240DC059C3B2D97D50164FF26934C637B73B5,desmosvaloper1pm5a8rym9qscwdpdgak920dxtgw04eucnjlsfc
gabira,91240,72D637E566B58DDD5EA9955C2FA45CEB0A054835,desmosvaloper1lzynvemltcx4kr6m6fc7w4ag8suulntgdl667z
konstantin,0,F1169D9DF22641F9A14C042F8535F12BAE733A76,desmosvaloper1yweq7qdx5kpf7mlh8wr7xg2z2u6k5x2nq4xgvf
mujibc,0,34B5558A6D35621601FA53F5E045B576974C570F,desmosvaloper1k2hy3myatxpzvzqattr2k32a63yp3jysmnvgka
ChainodeTech,419560,A5B1180CE3CA8DFA6E546A68D052B1B8947DCAC8,desmosvaloper1cgzcj0jwja032zx7hgjuxruqdvppex3nnh90mt
desmosval,277857,5D73ABAEDBF1F047B3E12F8C0CC0BE626C2DE227,desmosvaloper1gwnuwmh089put6hayqdk3n0pnm7ghsl45p7u0u
blockscape,421042,96C3A1B915D634654FF198E78171A24144DFA625,desmosvaloper1dqcs9cgw2mv696je4579w7ulexyges73rneysl
ITAstakers,96648,9E8D521E034EFFA4D4D024C93291ED5C869726E4,desmosvaloper1u0xqasxgl6qkkckd860pt4xjqryxek4y05jwy6
shehuimeng,0,68B434E2E2DD79CC27A4AF06F453E0E647B9513E,desmosvaloper1w59ydz8xck0m7pun53txuyhgmea83n8vweapu2
NodeRunner,0,6C65A8C3BEFBA899BAE82E855345287F6204CFA3,desmosvaloper1ja7u8juj6mh5yysaptrc03q6tp2zw08q9qngns
lmb,0,C6F73278ACAA552EE4E569CEEE561B79B86F1100,desmosvaloper1ywg8daj4pxl55rrzg9lhg0r8u0wf303m9j8r6x
blockscape,168,337C2EB19E89E464A9778D636EF88B4B2F9ED285,desmosvaloper1397mvzsugyk8jakl2wehwysg96rfa6gv04l6k2
wood,0,087AAB5825CA2532C1965BD4F54911FCDE38812E,desmosvaloper1gdlmwxlwerjuqeqvmjvcdsnuwa3xalxhzc364t
DelegaNetworks,398312,333EFD8EB40B810E4B23EB70C21B685AAFDE49E8,desmosvaloper1s05pp00ecv44zxey656x89jdjh3p8j2u3zksmv
Stakin,423010,CEBC68A7C9724561BFDDE5DA923D0FB6952E0170,desmosvaloper14ljlul9x6wuqd7xh70h03n2d87d7zsxn03yvxk
CNazar,409481,1409214C529661D4EE5CC606E58FB60FB3087989,desmosvaloper18qu3zck8866dsdd87w03la3w4anej2e2l73hca
novy,411842,653325AE8D4A4F4C504921D06CF5546954410DCF,desmosvaloper168yfpd2t8lvfxwu8lcu0ppuh3kl598g50tg2ay
DESMOS-IW,3327,8012D2A4D345BC91FD0795CD7654B2677033CFE3,desmosvaloper1se6x7qs9fq2wjwqpa4e3rt349r6pqcc8wm74ay
Winnie the Pooh,399233,F3094FB125F05CDB07B78D1CD563A8AE27C44FE8,desmosvaloper1rmw6ahez753k6j75s063nq8hqlfgp2wvxr2z47
WeStaking,422393,FDAF8A9511132AFFE393DB16870621BBD4F19BFD,desmosvaloper1sscdc90dgwnk456kenk4jst5f5r25dgcg65tc5
hpzxk,0,07E0B07C2146A8F2F5BB388BACFFBE92297E0BA6,desmosvaloper1vqxjne7ra62qm8dylzqjglj9ucgmduee3wc07e
Nodeasy2,0,D110B8F7FB9F67EEE945C1160D25A439AB8B6798,desmosvaloper1r7p3c6rnqdw69np77kj5k22zffyauq7ly2l5dj
Mike Snowman Validator,421068,49BF1EB15E4163371E4094F6A8D6B24A61EC6D1C,desmosvaloper1rpurg200edtv6rgvfjuf7j6s8mghnsljg0ygf6
Simply Staking,420633,75C9E55E562D684BE2D8252E2B284A715B4BEA8B,desmosvaloper152dp990japftfdvply2pspeg6dxqaj4s4qyqhc
